城市,城区,商圈,小区名,房源详情url,房型(三室两厅),房屋面积,成交总价(万元),成交周期(天数),朝向,装修状况,电梯情况,楼层,房屋年代/楼体结构,房屋描述（房屋满五年|距8号线安德里北街971米）,单价,成交日期,成交总价(万元),房屋来源,挂牌日期,状态(在售|成交)
广州,海珠,赤岗,珠江帝景苑,http://esf.gz.fang.com/chushou/3_227365114.htm,5室2厅1卫,238平米,1288,,南,豪华装修,有,中层,2006年,珠江帝景 豪装5房 望小蛮腰 业主诚心出售 送家私电器 户型描述1：价格：面积238方，售价1288万2：楼层：电梯中层，共30层3：户型：5室2厅1厨3卫3阳台4：装修：装修保养好，采光好周边配套1：出行路程：步行*就可以走到口，，2：装修风格：格局方正，实用，厅出阳台，安静望花园我司【中原地产】掌握着珠江帝景，紫龙府，帝景华苑，泓景花园，赤岗板块大量的盘源，无论是买还是租，面积要多大几房，用还是，我们都可以一一帮您找到。我们的服务，让您省时省心，中原地产，为您我做到。,54118元/平米,,,房天下,2018-06-27,在售
广州,海珠,赤岗,建雅居,http://esf.gz.fang.com/chushou/3_227101914.htm,2室2厅1卫,68平米,150,,南北,简装修,无,中层,2001年,小区介绍\n建雅居位于新港中，周边交通配套设施齐全，生活方便，餐饮：乐生苑酒家、绿茵翠庭美食、时香酒家、稻香酒家、江海酒家、周围商店：好又多市、宏城市、丽影广场、周边银行：中国银行、中国工商银行、中国建设银行、中国农业银行、深圳发展银行都是你生活的邻居，更难能可贵的是小区绿化高达物业费：0.40元\/平米·月和容积率为容积率：暂无资料，环境优美，清静幽雅\n二：房屋基本情况\n1、该房屋全明户型，视野好\n2、该房屋为房屋年代：2002年，朝向：南北通透，房屋通透，采光好\n3、该房屋为一般装修，户型正气，得房\n4、该房屋舒适，安静房东置换，诚心出售，欢迎看房，随时恭候您的到来。小区环境优雅，配套成熟，周边交通便利，舒适。本人从事房多年，公司有大量好房源，欢迎进入我的店铺查看，欢迎随时电话咨询，相信我的，为您置业安家保驾护航。联系人：赵文武,服务热线：15113393921,22059元/平米,,,房天下,2018-06-21,在售
广州,海珠,赤岗,星信国际(商用),http://esf.gz.fang.com/chushou/3_226719539.htm,1室1厅1卫,27平米,48,,南,精装修,有,中层,2017年,星信1，回.报率12%/年，八年总回.报96%，总价低，全城居首。现楼，即买即收租，租金按月返还，平层3000~6000元/月，5000-12000／月。2，不，不占购房，合约签明百分.百回购，安心有保障。3，黄.金地段。海珠区政府旁，繁华生活配套，丽影广场，合生广场，3号，8号线客村站10分到珠江新城，4，精装修送家私家电，管理，免管理费、水电费，安全省心，稳定收租，隐形资产，自由转让，免.税费。,17778元/平米,,,房天下,2018-06-12,在售
广州,海珠,赤岗,华豪苑,http://esf.gz.fang.com/chushou/3_226852074.htm,3室2厅2卫,98平米,120,,南北,精装修,有,中层,2011年,一、核心卖点1、客厅宽敞大气，厅出阳台，视野开阔! 2、交通便利配套齐全，公交站就在门口！ 3、带精装修提包入住，看房方便，我有钥匙！ 4、真实图片实景拍摄，绝不会用假照片吸引您！ 二、业主心态1、此业主房源经查册信息准确，房源真实，产权清晰，无复杂经济背景或其它纠纷，可安全交易 2、其次该业主由于家庭原因需要进行二次置业，现急需出售此房源，由于放盘时间较短，出售心切，也是您购入的*时机 3、若有小幅度的价格问题，业主愿意参与三方面沟通诚心出售三、小区配套1.绿化，环境清净优雅，空气清新 2.房屋配套设施齐全，地理位置优越，生活舒适便利 3.小区物业管理完善，人文素质高，保安全天看守巡逻，安全可靠、是您的守选！ 4.户型方正实用，房子楼层适中，南北朝向对流通风好，采光采景 5.周边配套齐全，出门走几就是公交车站、站、商业街、肉菜市场、沃尔玛大型超市商场、银行、实验、体育休闲公园 6.楼下就有小型运动器材的休闲草地广场，早晚带老人小孩散步运动都不错. 7.成熟小区是入住的好地方，拎包即可入住四、服务介绍1.不胡乱分析市场促成交易，尽量让客户理性判断2.不过多电话造成生活干扰，合理安排时间进行服务3.不单纯只为成交而做成交，把可能存在的各种风险规避到底！4.欢迎随时来电咨询：186-6653-4382黄经理（微信同步,12245元/平米,,,房天下,2018-06-15,在售
广州,海珠,赤岗,致远小区,http://esf.gz.fang.com/chushou/3_226850588.htm,3室2厅2卫,89平米,148,,南,精装修,无,中层,2000年,房源详情】：正规3房两厅，安静舒适【室内布局】：格局方正实用，无浪费面积，户型没有改动过【装修情况】：业主保养好，精装修，即买即入住都没问题的【产权】：产权清晰，无按揭抵押，没有占用，随时可以交易【朝向】：南北对流，采光通风明亮欢迎来电咨询：186-6653-4382黄经理（微信同步）,16629元/平米,,,房天下,2018-06-15,在售
广州,海珠,赤岗,阳光公寓,http://esf.gz.fang.com/chushou/3_227239278.htm,1室1厅1卫,25平米,35,,南北,豪华装修,无,中层,2013年, 咨询详情请联系：13416412039刘小姐（微信同号）二丶赔了也要卖，由于资金周转问题群体 三丶合适了就卖，因为家庭需要置换 四丶差不多就卖，不了解市场害怕房价下降群体 -换个角度来说每一位业主都是诚心出售，只是价格都是看了房之后才有资本再谈的，因为这个基本是业主对客户诚心的评估标准，所以欢迎看房，随时恭候。我会为您争取到更多的优惠，帮您买到适合的房子-,14000元/平米,,,房天下,2018-06-24,在售
广州,海珠,赤岗,印象琶洲公寓,http://esf.gz.fang.com/chushou/3_227239342.htm,1室1厅1卫,38平米,39,,南,豪华装修,无,中层,2013年,咨询详情请联系：13416412039刘小姐（微信同号）一、房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通超级便利，公交站就在小区门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！二、户型介绍：1、户型：2室2厅，视野开阔.保养好.2、这套房子通风采光都不错。3、厨房宽敞，让您和家人有足够的空间展现私家厨艺。4、客厅和厨房之间是您和家人享受美味的餐厅，让您热情 的招待亲朋好友。三、社区介绍:1、小区环境优雅.绿化.配套成熟。2、环境优美适宜、人文素质高物业管理完善。3、小区属于低密度社区，适宜。4、小区的较高，让您感受花园一样的家。咨询热线： 131－8915－2183 吴先生,10263元/平米,,,房天下,2018-06-24,在售
广州,海珠,赤岗,阳光公寓,http://esf.gz.fang.com/chushou/3_227350118.htm,1室1厅1卫,26平米,34,,南,精装修,无,中层,2013年,1、客厅宽敞大气，厅出阳台，视野开阔！ 2、交通便利，—公交就在家门口！ 3、带精装修，看房方便，我有钥匙！ 4、真实图片实景拍摄，*不会用假图片欺骗您! C社区介绍: 1、小区环境优雅.绿化高.配套成熟. 2、环境优美适住、人文素质高物业管理完善。 3、小区的小，属于低密度社区，适住。 4、小区的绿化度较高，让您感受花园一样的家。,13077元/平米,,,房天下,2018-06-27,在售
广州,海珠,赤岗,印象琶洲公寓,http://esf.gz.fang.com/chushou/3_227348454.htm,1室1厅1卫,31平米,32,,南北,简装修,无,中层,2013年, 1.房子格局合理，户型方正，采光很好，舒适。价格低，急卖！机会难得！好房源，，值得一看！2.稀有房源，配套齐全，生活很方便。地理位置佳，交通利。单边位，三面采光，通透无遮挡！3.诚心卖，机会难得。看房方便，提前预约即可。 ,10323元/平米,,,房天下,2018-06-27,在售
广州,海珠,赤岗,印象琶洲公寓,http://esf.gz.fang.com/chushou/3_226717847.htm,1室1厅1卫,45平米,48,,南北,精装修,有,中层,2011年,印象琶洲地处8号线磨碟沙站B出口前方，与琶洲会展仅一站之隔总占地面积3600平方米，建筑面积16319平方米，开发商为广州市房屋开发建设有限公司周边有好彩又一鲜酒家、百味美食园、新港渔村、琶洲食府、广州市琶洲街派出所、琶洲会议、香格里拉大、广州国际会议展览（琶洲会馆），配套完善,10667元/平米,,,房天下,2018-06-12,在售
广州,海珠,赤岗,纵横国际公寓,http://esf.gz.fang.com/chushou/3_226718493.htm,2室2厅1卫,48平米,165,,南,精装修,有,中层,2012年,荣幸向您介绍这套房源：该房属二手房，并且是住宅，可以贷款购买【基本情况】精装修如图，保持良好，南向采光，视野一览众山小。【周边情况】，赤岗直线340米，出行方便，属于琶洲电商板板块，住宅，价格上升动力强，生活配套完善。【不足之处】式密度高，另：本公司代理穗城7成楼盘，只要您考虑买房子，点击下面微聊打个招呼，说说您的需求，我都可以帮到您。,34375元/平米,,,房天下,2018-06-12,在售
广州,海珠,赤岗,印象琶洲公寓,http://esf.gz.fang.com/chushou/3_226717498.htm,2室2厅1卫,41平米,42,,南,精装修,有,中层,2011年,印象琶洲地处8号线磨碟沙站B出口前方，与琶洲会展仅一站之隔总占地面积3600平方米，建筑面积16319平方米，开发商为广州市房屋开发建设有限公司周边有好彩又一鲜酒家、百味美食园、新港渔村、琶洲食府、广州市琶洲街派出所、琶洲会议、香格里拉大、广州国际会议展览（琶洲会馆），配套完善,10244元/平米,,,房天下,2018-06-12,在售
