城市,城区,商圈,小区名,房源详情url,房型(三室两厅),房屋面积,成交总价(万元),成交周期(天数),朝向,装修状况,电梯情况,楼层,房屋年代/楼体结构,房屋描述（房屋满五年|距8号线安德里北街971米）,单价,成交日期,成交总价(万元),房屋来源,挂牌日期,状态(在售|成交)
广州,增城,石滩,石滩第一城,http://esf.gz.fang.com/chushou/3_226592882.htm,3室2厅2卫,95平米,152,,南,精装修,有,低层,2013年,：未来火车东站物业，16号口物业，出入方便，生活配套齐全，周边环绕，如黄冈等。此小区是成熟小区，配套齐全，入住80%，24万首付，拎包就可以入住，未来无限，。,16000元/平米,,,房天下,2018-06-09,在售
广州,增城,石滩,石滩第一城,http://esf.gz.fang.com/chushou/3_226870602.htm,3室2厅1卫,92平米,110,,南北,精装修,有,中层,2007年,描述：卖点一：总价低，适合工薪*的小家庭！房东因置换新房，故以低价出售，并且满5年，省却大量税费卖点二：采光较好！整体房间功能明确！总之，会给您意想不到的感觉！ 卖点三：此房精装修，保养得很不错，给人一种整洁的感觉！小区规划合理，楼间距大！ 卖点四：*。距周围商店：好又新购物广场、盟轩商行、天天购物*、乐意购物*、餐饮：麦克顿汉堡、公牛世家、蒸功夫、石滩汽车客运站、周边银行：中国银行、广州农商银行、广州农行、中国邮政储蓄、周边*：增城市石滩*、：暂无资料、等近在咫尺。,11957元/平米,,,房天下,2018-06-15,在售
广州,增城,石滩,石滩第一城,http://esf.gz.fang.com/chushou/3_227215007.htm,3室2厅2卫,98.52平米,168,,南北,精装修,有,低层,2007年,本人从事房地产多年，不靓的房子是不会放网的！,17052元/平米,,,房天下,2018-06-24,在售
广州,增城,石滩,欧亚公馆,http://esf.gz.fang.com/chushou/3_227055216.htm,2室2厅1卫,85.45平米,225,,东北,精装修,有,中层,2017年,1.此房户型：2房2厅，朝向：北，格局漂亮2.户型，位置独特，视野开阔，空气清新，紧对花园，适合过日子。3.清晨时，您站在客厅里，沐浴着旭日的光辉，精神饱满舒畅啊！4.本房价位， 请大家把握好机会.,26331元/平米,,,房天下,2018-06-20,在售
广州,增城,石滩,石滩第一城,http://esf.gz.fang.com/chushou/3_223598512.htm,3室1厅2卫,57平米,65,,南,精装修,有,中层,2007年,业主心态 【温馨提示】如本房源不能满足您的需要，可点击：右上角我的头像，里面有更多优房可供挑选。或可直接拨打本人电话，期待您的来电小区配套 购买理由1.楼层虽低但无遮挡采光好2.业主已做好随时出手准备，价格很大，也是相当不错的选择！3.买后从未住过，二手房的价格买新房。选择我的理由1.不与业主站在一边搞双簧，坚决和我的客户同仇敌忾2.不胡乱分析市场促成交易，尽量让客户理性判断3.不过多电话造成生活干扰，合理安排时间进行服务4.不单纯只为成交而做成交，把可能存在的各种风险规避到底！服务介绍 经纪人服务：专车接送、咨询、全程看房本人专业从事/住宅//楼等买卖出租已经有近3年经验，是对房产这一块有我自己独特的见解，有独特的眼光能够敏锐的扑捉到市场的经济动向。欢迎广大业主来单委托咨询,请把你的需求告诉我，我将会用十二分的专业，专注，专心的态度为你服务和解答问题，希望能用到我的真诚与专业能帮到您在人生中多添一金！,11404元/平米,,,房天下,2018-04-07,在售
广州,增城,石滩,欧亚公馆,http://esf.gz.fang.com/chushou/3_227175877.htm,3室2厅2卫,122平米,280,,东南,中装修,有,中层,2017年,房屋图片是本人所拍，大厅阳台是向南，视野没有遮挡，三个房间都很大很实用，每个房间都很通风采光,22951元/平米,,,房天下,2018-06-23,在售
广州,增城,石滩,石滩第一城,http://esf.gz.fang.com/chushou/3_226584825.htm,3室2厅2卫,99平米,116,,南,精装修,无,中层,2007年,1.【区位】，广州&ldo;东进&rdo;发展战略核心，广州火车新东站旁（已动工），东部交通枢纽2.【便捷交通】，16号线（规划中）、二横四纵交通网3.【】，黄冈/石滩，众多公立环绕4.【区域发展】，低碳总部园，医院5.【繁华商圈】，石滩繁华，周边配套齐全，辐射增城广场，东汇城、万达广场3大商圈,11717元/平米,,,房天下,2018-06-09,在售
广州,增城,石滩,石滩第一城,http://esf.gz.fang.com/chushou/3_225076448.htm,3室2厅1卫,96平米,129,,南,精装修,有,中层,2007年,描述该套房源的购买价值，核心核心卖点石滩城类型信息项目特色：五证齐全建筑形式：高层、塔楼楼盘位置： 增城区石滩镇立新东路57号公交路线：石滩城即是石滩汽车站，往增城、新塘公交车10一班，往广州30一班自驾路线：石滩镇立新路56号占地面积：65578平方米建筑面积：106400平方米产权年限：70年绿 化 率：30%容 积 率：2总 户 数：1100楼座展示：四期为5栋17-18层洋房组成，2-3栋为两梯六户，1、4、5栋为两梯四户。配套信息物业公司：嘉兴物业管理公司物 业 费：2.5元/平米.月物业说明：住宅2-2.5元/平*月车 位：总车位数664个，可租可售周边配套：有培恩幼儿园、镇幼儿园、化工幼儿园、、新晖、岗贝，港侨。石滩一中、石滩二中医院：增城市石滩医院商场：项目本身规划有石滩城商业步行街、有好又新购物广场、盟轩商行、天天购物商场、乐意购物，和兴肉菜市场等内部配套：商业步行街、游泳池、会所（羽毛球场、健身房、棋牌室等）岗贝建材设备：电梯品牌：三菱；户内电器开关、插座：飞利浦装修标准装修情况：毛坯、精装修装修标准：1200元/平米楼盘简介石滩城位于石滩镇商业核心区，总建筑面积10.64万平方米，其中住宅建筑面积8万平方米，建筑面积1.03万平方米。石滩城三期包括3栋11层小高层电梯洋房，4梯8户，还有1栋6层楼梯楼，总货量约300套。石滩城三期位于小区的正，电梯洋房产品均为南北座向，少量楼梯房为东北向。户型有90方~192㎡的三房到五房，主打95㎡的3房及123㎡的4房，部分二楼有近百方露台赠送，顶层有近70方天台赠送，使用。据了解，石滩城为旧城改造项目，是宜商的典范楼盘，周边校、银行、市场、酒楼等，住宅小区内生活、公共配套设施完善，大部分楼房南北朝向，实用，有充足的停车场地。如果您对这条房源不满意 请点击我的头像查看更多房源信息! 我将用专业与经验给您带来不一样的体验！！！看楼提前预约：185-2926-2118 刘先生 （微信同号）,13438元/平米,,,房天下,2018-05-08,在售
广州,增城,石滩,石滩第一城,http://esf.gz.fang.com/chushou/3_225137332.htm,3室2厅2卫,109平米,145,,南,简装修,无,中层,2007年,新城大道板块，拥有天时地利人和等一切,13303元/平米,,,房天下,2018-05-10,在售
广州,增城,石滩,欧亚公馆,http://esf.gz.fang.com/chushou/3_224179923.htm,5室2厅2卫,225平米,400,,南,中装修,有,高层,2015年,一;房子位于增城区荔城版块 市 该小区房源紧缺、房型好、人文素质高、人文气息浓厚。二、装修情况：精致的装修、保养得很好、坐在客厅里可以看到小区里的靓景、舒适。三、产权清晰：房产证面积225方、产权清晰、四；房子属于  可用3层 采光通风好，望花园，毛坯，即买即入住、,17778元/平米,,,房天下,2018-04-19,在售
