城市,城区,商圈,小区名,房源详情url,房型(三室两厅),房屋面积,成交总价(万元),成交周期(天数),朝向,装修状况,电梯情况,楼层,房屋年代/楼体结构,房屋描述（房屋满五年|距8号线安德里北街971米）,单价,成交日期,成交总价(万元),房屋来源,挂牌日期,状态(在售|成交)
广州,花都,山前大道,碧桂园假日半岛,http://esf.gz.fang.com/chushou/3_225806202.htm,3室2厅1卫,95平米,110,,南,精装修,无,低层,2006年,碧桂园半岛花园，交通便利，采光充足，小区配套齐全，管理严格！,11579元/平米,,,房天下,2018-05-23,在售
广州,花都,山前大道,联合广场,http://esf.gz.fang.com/chushou/3_227295477.htm,1室1厅1卫,36平米,46,,南,豪华装修,有,中层,2018年,联合广场项目位于皮革皮具之都的核心，是创新型皮具文化产业综合体，总建筑面积54910平方米。1、 首付20多万起可买广州精装三四房，约5米，双钥匙户型设计（上下楼独立钥匙，两户）2、 皮都，地标：位于狮岭皮革皮具区，产业中轴线上。狮岭地标物业。周边设施交通：广清轻轨狮岭站即将开通，无缝对接广州北站、9号线距白云机场、广州北站约20公里，轻松辐射全球约1公里即可对接广清、肇花、机场、大广等多条高速咨询热线：159 2048 4664 李经理,12778元/平米,,,房天下,2018-06-26,在售
广州,花都,山前大道,联合广场,http://esf.gz.fang.com/chushou/3_227109398.htm,4室2厅2卫,57平米,55,,东南,豪华装修,有,中层,2018年,联合广场是商业综合楼，主要以皮具为主体，包含，，电商，物流等一系列配套。国际皮具工厂旗舰店、中外皮革皮具交易、旅游接待、餐饮、皮具一条街、品牌展销厅、咖啡厅、电商、摄影广告、物流…协会机构、产业配套、旅游配套、休闲配套、绿化设斲、皮具优创空间、皮具“三创”基地…、、空中餐厅…,9649元/平米,,,房天下,2018-06-21,在售
广州,花都,山前大道,碧桂园假日半岛,http://esf.gz.fang.com/chushou/3_215443290.htm,2室2厅1卫,72平米,88,,南北,豪华装修,有,中层,2006年, 交通状况项目位于惠州市龙门县永汉镇，距离广河高速永汉出口较近 1）广州：华南快速→春岗立交转广河高速→永汉出口 2）深圳：莞深高速→广河高速→永汉出口 3）惠州：惠河高速→石坝转广河高速→沙迳出口 4）东莞：莞深快速→增城市区→从莞深→永汉出口项目配套小区内部配套：健身设施、运动场地惠州碧桂园南昆大观位于惠州市南昆山温泉大观园内，与国家4A级景区温泉大观园深度合作，是“造城”碧桂园集团入驻南昆山打造的集旅游观光、温泉疗养、娱乐休闲、康体养生于一体的综合性度假大城。 社区引进四家品牌托管公司：途家、沃家、管家、克洛维，为业主提供一体化的养生度假方案。 惠州碧桂园南昆大观还将提供的物业服务。全天候安保、从安全、家居保养、花园护理等，悉心呵护社区生活环境，照顾度假生活的每一方面。,12222元/平米,,,房天下,2018-05-31,在售
广州,花都,山前大道,千色美湖花园,http://esf.gz.fang.com/chushou/3_227287446.htm,3室2厅1卫,94平米,80,,东北,精装修,有,高层,2013年,房源面积94方，实用三房带精装修，高层，自住保养好，拎包即可入住，小区环境舒适，绿化管理良好，房间户型实用，十分适合一家人。,8511元/平米,,,房天下,2018-06-25,在售
广州,花都,山前大道,金碧御水山庄,http://esf.gz.fang.com/chushou/3_210487567.htm,6室3厅4卫,268平米,198,,东南,精装修,无,高层,2007年,放盘房源、业主急需资金周转、低于市价20%；要快、早买早着；本单位位置靓、户型好；通风采光都很好、住家一流；买到就是到！图片为本人亲自拍摄、保证真实！本人下班后时间手机信号较差、为了及时联系：可添加微信同号13631310988咨询，谢谢；,7388元/平米,,,房天下,2018-05-07,在售
广州,花都,山前大道,金碧御水山庄,http://esf.gz.fang.com/chushou/3_226059987.htm,5室2厅3卫,265平米,180,,南北,毛坯,有,低层,2008年,业主诚意，工作的调动，所以才卖房子的,6792元/平米,,,房天下,2018-05-28,在售
广州,花都,山前大道,金碧御水山庄,http://esf.gz.fang.com/chushou/3_226682125.htm,2室2厅1卫,70平米,71,,东北,精装修,有,高层,2005年,该洋房位于A区，入住，出入方便，高层，正对小区的山山水水，采光通透，格局方正，保养新净，卖掉换大房，看房也方便，有意向提前打电话预约就好！免费咨询电话：13560121085（微信同号）李晓玲更多房源请点击我的头像进入网上店铺总有一套适合您！！！,10143元/平米,,,房天下,2018-06-11,在售
广州,花都,山前大道,碧桂园假日半岛,http://esf.gz.fang.com/chushou/3_222727884.htm,3室2厅1卫,91平米,110,,南,精装修,无,中层,2005年,采光充足，位置安静，周边配套齐全，带部分家私家电！,12088元/平米,,,房天下,2018-06-18,在售
广州,花都,山前大道,花都颐和山庄,http://esf.gz.fang.com/chushou/3_227219454.htm,3室2厅1卫,95平米,90,,南,精装修,有,中层,2015年,1、御水临山千大盘，前眺湖景，后享王子山连绵山景，低密度社区；2、*广州半*车程，超笋山水住宅大盘；3、坐享乐广高速、机场高速等快速交通网；4、免费楼吧接驳9号线、3号线、1号线口，以及万达城项目； 5、社区配套完善，带幼儿园、商业街等，高，环境舒适；,9474元/平米,,,房天下,2018-06-24,在售
广州,花都,山前大道,联合广场,http://esf.gz.fang.com/chushou/3_224658058.htm,1室1厅1卫,33平米,35,,东,豪华装修,有,中层,2018年,联合广场项目位于皮革皮具之都的核心，是创新型皮具文化产业综合体，总建筑面积54910平方米。1、 首付20多万起可买广州精装三四房，约5米，双钥匙户型设计（上下楼独立钥匙，两户）2、 皮都，地标：位于狮岭皮革皮具区，产业中轴线上。狮岭地标物业。周边设施:交通广清轻轨狮岭站即将开通，无缝对接广州北站、9号线距白云机场、广州北站约20公里，轻松辐射全球约1公里即可对接广清、肇花、机场、大广等高速公路、畅达广清佛综合商场东福购物广场、五金龙头市场、国际皮革皮具贸易城、医院狮城医院、银行中国银行、中国农业银行、中信银行、招商银行其他碧桂园物业,、寓米主题托管、小区家居智能化配套、施,10606元/平米,,,房天下,2018-04-29,在售
广州,花都,山前大道,联合广场,http://esf.gz.fang.com/chushou/3_224659449.htm,2室2厅1卫,53平米,58,,东,豪华装修,有,中层,2018年,联合广场项目位于皮革皮具之都的核心，是创新型皮具文化产业综合体。1、总价50多万起可买广州精装三四房，约5米，双钥匙户型设计（上下楼独立钥匙，两户）2、皮都，：位于狮岭皮革皮具区，产业中轴线上。狮岭物业。3、珠三角旅游中转站：毗邻清远长隆国际森林度假区、花都万达文化旅游城，6000万人次旅游中转站，10旅游景区圈：美林湖、盘古王、故乡里、芙蓉嶂。4、创新皮具综合体：15000m2皮具主题商业，皮具原产地*，*原创皮具体验、电商创业基地，着力打造中国皮具魅力之都。5、五星服务：碧桂园物业6、全球top5集团-丽枫托管！！！,10943元/平米,,,房天下,2018-04-29,在售
广州,花都,山前大道,金碧御水山庄,http://esf.gz.fang.com/chushou/3_226508400.htm,6室3厅5卫,345平米,230,,南,毛坯,有,低层,2007年,本单位位置靓、户型好；通风采光都很好、住家一流；买到就是到！图片为本人亲自拍摄、保证真实！本人下班后时间手机信号较差导致打不进（关机）、为了及时联系：可添加微信同号13631310988咨询，谢谢；,6667元/平米,,,房天下,2018-06-07,在售
广州,花都,山前大道,南航碧花园,http://esf.gz.fang.com/chushou/3_226422533.htm,3室2厅2卫,129平米,129.99,,南北,精装修,无,低层,2005年,该洋房130平方，跃式结构，层次分明，一梯两户，南北对流，位于2楼，楼梯楼中手的楼层，室内装修保养新，带上衣服就可以入住了，省心省力，看房方便，提前打电话预约就可以了！免费咨询电话：13560121085（微信同号）李晓玲更多房源请点击我的头像进入网上店铺总有一套适合您！！！,10077元/平米,,,房天下,2018-06-05,在售
广州,花都,山前大道,南航碧花园,http://esf.gz.fang.com/chushou/3_226422533.htm,3室2厅2卫,129平米,129.99,,南北,精装修,无,低层,2005年,该洋房130平方，跃式结构，层次分明，一梯两户，南北对流，位于2楼，楼梯楼中手的楼层，室内装修保养新，带上衣服就可以入住了，省心省力，看房方便，提前打电话预约就可以了！免费咨询电话：13560121085（微信同号）李晓玲更多房源请点击我的头像进入网上店铺总有一套适合您！！！,10077元/平米,,,房天下,2018-06-05,在售
广州,花都,山前大道,联合广场,http://esf.gz.fang.com/chushou/3_226867230.htm,3室2厅2卫,53平米,60,,南,精装修,有,中层,2013年,联合广场项目位于皮革皮具之都的核心，是创新型皮具文化产业综合体，总建筑面积54910平方米。1、 首付20多万起可买广州精装三四房，约5米，双钥匙户型设计（上下楼独立钥匙，两户）2、 皮都，地标：位于狮岭皮革皮具区，产业中轴线上。狮岭地标物业。业主心态：花都新盘 打造花都豪华小区 碧桂园产业48-59 百变户型 10年服务热线 199-2839-6163 余小姐（微信同步）,11321元/平米,,,房天下,2018-06-15,在售
