城市,城区,商圈,小区名,房源详情url,房型(三室两厅),房屋面积,成交总价(万元),成交周期(天数),朝向,装修状况,电梯情况,楼层,房屋年代/楼体结构,房屋描述（房屋满五年|距8号线安德里北街971米）,单价,成交日期,成交总价(万元),房屋来源,挂牌日期,状态(在售|成交)
广州,番禺,市桥北,康富花园,http://esf.gz.fang.com/chushou/3_226782489.htm,3室2厅2卫,83平米,120,,南,精装修,有,中层,2011年,房源真实 100％实图.超低笋——盘房源描述：83方3房.120万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：13556014825欢迎加微信咨询13556014825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,14458元/平米,,,房天下,2018-06-13,在售
广州,番禺,市桥北,桥华楼,http://esf.gz.fang.com/chushou/3_227110184.htm,3室2厅2卫,96平米,116,,南北,精装修,有,中层,2000年,推荐理由 地理位置优越，的。 公交十分方便。出行方便，上下班方便。 周围商店：连锁超市,百德、地下商场、易发商场、百佳超市、华润万佳购物方便，节省您的宝贵时间。 小区绿化。环境优美。宁静和谐，好环境总会给人带来好心情。 房干净整洁，温馨舒适，窗明几净，就等着您的。 家电齐全精装修，宽敞明亮，布局大方，采光好。 个人介绍     您好，我是北京神鹰通讯科技有限公司的陈小华。与我联系，您会在很短的时间内找到合适的房子哦。,12083元/平米,,,房天下,2018-06-21,在售
广州,番禺,市桥北,鸿禧华庭,http://esf.gz.fang.com/chushou/3_225351230.htm,3室2厅1卫,80平米,250,,南,精装修,有,中层,2012年,房源真实 100％实图.超低笋——盘房源描述：80方3房.250万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于13层.共26层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：135 5601 4825欢迎加微信咨询135 560 14825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,31250元/平米,,,房天下,2018-05-14,在售
广州,番禺,市桥北,温馨里,http://esf.gz.fang.com/chushou/3_224999187.htm,3室2厅2卫,62平米,109,,东,豪华装修,有,中层,2010年,一：87方全新三房，未占用，产权清晰随时签约过户；二：中间景观楼层，2梯6户出行便利，且视野开阔，通风采光好！三：业主年轻白领，早期刚需，保养全新，无需二次装修，即可！四：小区内自带园，基地初中部，助力北大、清华不是梦。,17581元/平米,,,房天下,2018-05-07,在售
广州,番禺,市桥北,正太广场,http://esf.gz.fang.com/chushou/3_226997116.htm,3室2厅2卫,90平米,100,,南,精装修,有,中层,2014年,房源真实 100％实图.超低笋——盘房源描述：90方3房.100万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：13556014825欢迎加微信咨询13556014825,11111元/平米,,,房天下,2018-06-18,在售
广州,番禺,市桥北,锦绣华庭,http://esf.gz.fang.com/chushou/3_224998272.htm,3室2厅2卫,96平米,85,,南北,精装修,有,低层,2015年,房源真实100％实图.超低笋——盘房源描述：96方3房.89万带豪华装修南北对流..送车位.送家私家电胡经理：业主急售——来电可享受看房团优惠折扣..免费专车,8854元/平米,,,房天下,2018-05-07,在售
广州,番禺,市桥北,锦绣华庭,http://esf.gz.fang.com/chushou/3_225349002.htm,3室2厅2卫,80平米,100,,南,精装修,有,中层,2011年,房源真实 100％实图.超低笋——盘房源描述：80方3房.100万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：135 5601 4825欢迎加微信咨询135 560 14825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,12500元/平米,,,房天下,2018-05-14,在售
广州,番禺,市桥北,康泰园,http://esf.gz.fang.com/chushou/3_225866860.htm,3室2厅2卫,87平米,110,,南,精装修,有,中层,2011年,房源真实 100％实图.超低笋——盘房源描述：87方3房.110万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：135 5601 4825欢迎加微信咨询135 560 14825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,12644元/平米,,,房天下,2018-05-24,在售
广州,番禺,市桥北,番艺花园,http://esf.gz.fang.com/chushou/3_224045945.htm,2室2厅1卫,73平米,110,,南,精装修,有,中层,2007年,核心卖点户型介绍：1.视野开阔.保养好2.环境舒适，户型端正，厅够大,通风采光好，小区绿化率达到35%，3. 客厅、宽敞舒适、南北对流，前后双阳台，通风效果好。阳光充足。4、卧室搭配的很新颖，使用率之高，厅大房大，方正实用5、厨房带阳台，让您和家人有足够的空间展现私家厨艺。社区介绍:1、小区环境优雅.绿化好.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的容积率小，属于低密度社区，适住4、小区的绿化高，让您感受花园一样的家。,15068元/平米,,,房天下,2018-04-16,在售
广州,番禺,市桥北,禺雅园,http://esf.gz.fang.com/chushou/3_224999019.htm,3室2厅2卫,89平米,130,,南北,简装修,有,中层,2010年,核心卖点 户型：3室2厅1厨1卫1阳台. 朝向：朝南. 层,共层有些图片看起来没那么精美，但这些全部为真实照片。我不会用虚假图片来骗您的来电！一、房源1、正规。朝向：朝南.日照充足.3、室内一般装修.。二、房屋介绍1、客厅.宽敞.大方.使用 2、卧室温馨舒适.搭配心怡3、厨房设施齐全.让美味来的更加轻松业主心态 1.业主诚心出售此房，房子户型好，采光棒。2.房主靠谱，随时看房，随时签约，随时过户，A类房源，好房，随时等待您的核实！！！小区配套 三、社区配套1、环境优雅，低密度社区。2、小区高，让您感受像花园一样的家四、周边配套地理位置得天独厚,使出行更加方便,节省时间服务介绍 服务：产权核验、有钥匙、全程代办【自我推荐】本人从事房产经纪工作多年，专业知识扎实，对交易流程熟悉，对市场有较敏锐的洞察力，对生活和工作都充满激情，诚实做人，坦诚做事，靠谱。【温馨提示】如本房源不能满足您的需要，可点击：右上角我的头像，里面有更多优房可供挑选。或可直接拨打本人电话，期待您的来电。15360639275小娟,14607元/平米,,,房天下,2018-05-07,在售
广州,番禺,市桥北,温馨里,http://esf.gz.fang.com/chushou/3_224998637.htm,2室2厅1卫,80平米,142,,南北,精装修,有,中层,2011年,1.户型；2室2厅1卫2阳台，格局方正，大厅朝南向，采光*2.装修业主保养好如果对装修没有高的要求基本上可以随时入住3.位置小区花园位置，可以看花园，前后楼栋宽阔，是小区的位置,17750元/平米,,,房天下,2018-05-07,在售
广州,番禺,市桥北,捷进中路小区,http://esf.gz.fang.com/chushou/3_227332955.htm,3室2厅2卫,90平米,150,,南,精装修,有,中层,2011年,房源真实 100％实图.超低笋——盘房源描述：90方3房.150万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：13556014825欢迎加微信咨询13556014825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,16667元/平米,,,房天下,2018-06-27,在售
广州,番禺,市桥北,禺秀园,http://esf.gz.fang.com/chushou/3_226396508.htm,3室2厅2卫,89平米,130,,南北,精装修,有,中层,2012年,房源真实方便看房6栋89平方120万精装修过五年精装修送车位南北对流送家电保养全新产权清晰过五**,14607元/平米,,,房天下,2018-06-05,在售
广州,番禺,市桥北,星誉花园,http://esf.gz.fang.com/chushou/3_225866440.htm,3室2厅2卫,86平米,210,,南,精装修,有,中层,2016年,房源真实 100％实图.超低笋——盘房源描述：86方3房.210万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：135 5601 4825欢迎加微信咨询135 560 14825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,24419元/平米,,,房天下,2018-05-24,在售
广州,番禺,市桥北,江南富图花园,http://esf.gz.fang.com/chushou/3_226472619.htm,4室2厅2卫,112平米,250,,南北,豪华装修,有,高层,2012年,本套房源拍摄的照片和视频可靠真实，绝无虚假信息。户型方正、采光、南北通透。装修好，且业主保养。业主产权无纠纷产权清晰。证过2年税费低。带附送家私家电。机会难得，走过路过不要错过了，有意请速联系。,22321元/平米,,,房天下,2018-06-06,在售
广州,番禺,市桥北,华苑楼,http://esf.gz.fang.com/chushou/3_225764510.htm,3室2厅2卫,86平米,70,,南,精装修,有,中层,2011年,房源真实 100％实图.超低笋——盘房源描述：86方3房.70万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：135 5601 4825欢迎加微信咨询135 560 14825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,8140元/平米,,,房天下,2018-05-22,在售
广州,番禺,市桥北,东华园,http://esf.gz.fang.com/chushou/3_225959163.htm,3室1厅1卫,102平米,98,,南北,简装修,有,中层,2002年,1、小区环境优美，交通便利，周边大型购物超市，餐饮游乐多，风气浓厚。2、占地面积大，社区拥有别具特色的硅谷风采园林，多元化生活的双会所配套，国际水准的智能化配置，涉外品质的安全防范系统。3、地下车库及充足车位，集，，商务和娱乐休闲为一体占尽新经济核心区- 的天时地利综合，淋漓开启资讯时代崭新的生活.4、拥有的绿化率，堪称天然氧吧，有客户称在此园能多活几十年。有专门到达公交车站，旁边有，周边正规划建配套设施。5、环境舒适的小区，绿化率比较高，空气比较新鲜，周边设施都比较齐全，交通购物都比较便利。服务介绍 1、绝不录入虚假信息吸引客户，我的房源都是真实存在的；2、绝不故意报低价格骗取您的点击，花言巧语愚弄我的客户；3、绝不手懒，堆积垃圾过期房源信息，敬请监督我的及时更新；4、绝不带我的客户看与预期不符的房源，浪费您的宝贵时间；5、绝不与业主站在同一边搞双簧，期满我的客户，秉承公平原则，竭尽所能为您服务；6、绝不妄自菲薄，以个人想法胡乱分析市场行情，尽量提供客观信息让客户理智判断；7、绝不过多电话打扰客户的正常休息和生活节奏，尽力保持我们的良性沟通；,9608元/平米,,,房天下,2018-05-26,在售
广州,番禺,市桥北,瑞和园,http://esf.gz.fang.com/chushou/3_225997668.htm,3室2厅1卫,96平米,110,,南北,简装修,有,中层,2002年,房源真实 100％实图.超低笋——盘房源描述：98方3房.110万带豪华装修南北对流..送车位.送家私家电 惊喜不断.业主急售——来电可享受看房团优惠折扣..免费专车a房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！b户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于6层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友c社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。,11458元/平米,,,房天下,2018-05-27,在售
广州,番禺,市桥北,鸿福花园,http://esf.gz.fang.com/chushou/3_225502648.htm,2室1厅1卫,60平米,70,,南北,简装修,有,中层,1996年,好盘入手迟了不是业主跳价，就是别人下定～如本房源不能满足您的需要，可点击：右上角我的头像，里面有更多优房可供挑选。或可直接拨打本人电话，期待您的来电小区配套 购买理由1.楼层虽低但无遮挡采光好2.业主已做好随时出手准备，价格很大，也是相当不错的选择！3.买后从未住过，二手房的价格买新房。工作3年，有好盘都会递一时间发朋友圈 各位可以加我微信，如今好盘下手就是要快.,11667元/平米,,,房天下,2018-05-17,在售
广州,番禺,市桥北,锦绣华庭,http://esf.gz.fang.com/chushou/3_225764143.htm,3室2厅2卫,86平米,70,,南,精装修,有,中层,2011年,房源真实 100％实图.超低笋——盘房源描述：86方3房.70万带豪华装修南北对流..送车位.送家私家电李经理：13556014825* 惊喜不断 业主急售——来电可享受看房团优惠折扣..免费专车A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，——公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！B户型介绍：1、户型：3室2厅，视野开阔.保养好..2、这套房子位于3层.共7层.通风采光都不错3、宽敞，让您和家人有足够的空间展现私家厨艺4、客厅和之间是您和家人享受美味的餐厅，让您热情的招待亲朋好友C社区介绍:1、小区环境优雅.高.配套成熟.2、环境优美适住、人文素质高物业管理完善3、小区的小，属于低密度社区，适住4、小区的较高，让您感受花园一样的家。店长*一手楼盘 免佣李经理：135 5601 4825欢迎加微信咨询135 560 14825负责广州 佛山 中山 香港等一手楼盘.二手负责广州番禺区.豪宅 别墅 写字楼 住宅 地皮.买卖租售带家具带车位 业主急售 有钥匙看房 南北对流 交通方便,8140元/平米,,,房天下,2018-05-22,在售
广州,番禺,市桥北,正太广场,http://esf.gz.fang.com/chushou/3_226428233.htm,3室2厅1卫,86平米,110,,东南,精装修,有,中层,2014年,送可入户南北对流..送车位.过2年.送家店A房源：1、客厅宽敞大气，厅出阳台，视野开阔!2、交通*便利，公交站就在门口！3、带精装修提包入住，看房方便，我有钥匙！4、真实图片实景拍摄，绝不会用假照片吸引您！,12791元/平米,,,房天下,2018-06-05,在售
